Province,District,Sector,Cell,Village,Longitude,Latitude,Area_Ha,BBox_MinLon,BBox_MinLat,BBox_MaxLon,BBox_MaxLat
Amajyaruguru,Musanze,Cyuve,Rwebeya,Marantima,29.645228217174953,-1.4896752553979324,87.28631561481309,29.638802270632148,-1.4945804186372171,29.650269250171892,-1.4818846306362845
Amajyaruguru,Musanze,Cyuve,Rwebeya,Mubuga,29.630059363611654,-1.4979745842378436,20.86137096268085,29.62627861735503,-1.5039202264657485,29.635815359222594,-1.493229773857658
Amajyaruguru,Musanze,Cyuve,Rwebeya,Nganzo,29.635849082950912,-1.495417311321476,19.966914570062666,29.633215644826635,-1.4988718325390136,29.6378047254463,-1.4916109139467215
Amajyaruguru,Musanze,Cyuve,Rwebeya,Nyarubande,29.639182404705554,-1.4929653038767585,30.52641656893766,29.63640854749463,-1.4968151150087148,29.64210007549935,-1.4890331328575375
Amajyaruguru,Musanze,Cyuve,Rwebeya,Nyiraruhengeri,29.631777704083547,-1.49633055903861,51.74993615475362,29.62649224197533,-1.5035633139652762,29.636873938045536,-1.4902894772059716
Amajyaruguru,Musanze,Gacaca,Gakoro,Butunda,29.703831380286122,-1.4849108603410872,111.28109345551178,29.696409921834174,-1.4904463757436555,29.710285883435198,-1.4791250673648313
Amajyaruguru,Musanze,Gacaca,Gakoro,Cyiri,29.706217491808967,-1.4751682580691559,149.82976814369988,29.69912598791965,-1.4809935550190132,29.714565975541756,-1.4677980400865225
Amajyaruguru,Musanze,Gacaca,Gakoro,Gahama,29.694407975882665,-1.4773094841980055,154.89312214477664,29.686547023736875,-1.4860231122221614,29.699957592267275,-1.4668362573955323
Amajyaruguru,Musanze,Gacaca,Gakoro,Murora,29.715715371754445,-1.487798346800605,271.0569981683232,29.70781968250032,-1.4983364819200984,29.72498200260214,-1.476976800495732
Amajyaruguru,Musanze,Gacaca,Gakoro,Murundo,29.69833166704408,-1.4665470220579844,122.36856086881997,29.69377015729202,-1.4776676147973062,29.703070387575025,-1.4577215156016197
Amajyaruguru,Musanze,Gacaca,Gakoro,Nkomero,29.70335522103249,-1.4944149275836827,167.045157991569,29.694578864755243,-1.5013838266620596,29.711146094379938,-1.4871947021566148
Amajyaruguru,Musanze,Gacaca,Gasakuza,Gasenyi,29.72227113666731,-1.5012671114046972,341.1438052282015,29.709820487055275,-1.512191701928273,29.732445455113865,-1.4913576166752054
Amajyaruguru,Musanze,Gacaca,Gasakuza,Gataba,29.71180394392849,-1.5083789015838764,66.28200380500385,29.7065760845853,-1.513009952684808,29.71686241581336,-1.5024184464516674
Amajyaruguru,Musanze,Gacaca,Gasakuza,Karushenyi,29.705400603104177,-1.5128283729320724,59.130355572664726,29.700527881458125,-1.516219303379121,29.71179840410228,-1.5087221130420976
Amajyaruguru,Musanze,Gacaca,Gasakuza,Nyamugari,29.696966823526108,-1.5247729714018199,111.55396799581507,29.689993591744916,-1.5308103997395022,29.703911514623254,-1.5183302607148004
Amajyaruguru,Musanze,Gacaca,Gasakuza,Ruhasa,29.70742537286732,-1.5182286920124124,137.1554945945675,29.699045869927193,-1.525335357570835,29.717037890959258,-1.5084208736256288
Amajyaruguru,Musanze,Gacaca,Gasakuza,Rurambo,29.70613379274384,-1.5043858402848398,106.88311974368557,29.700495458691346,-1.511410638678051,29.712403036134493,-1.498436378737245
Amajyaruguru,Musanze,Gacaca,Kabirizi,Gitovu,29.675557986753162,-1.5242097933561938,152.59086221833775,29.665005417208835,-1.5315372123353514,29.68785926850792,-1.51797894680584
Amajyaruguru,Musanze,Gacaca,Kabirizi,Kabushanda,29.67783447506154,-1.5161098433735296,143.56383389169594,29.665596695639543,-1.5259051686369391,29.68785545680454,-1.5090153629732095
Amajyaruguru,Musanze,Gacaca,Kabirizi,Kanama,29.694700899594473,-1.5129501867425375,132.8571868285795,29.686032032700385,-1.5218419268706862,29.702173922173564,-1.5044143616415708
Amajyaruguru,Musanze,Gacaca,Kabirizi,Karama,29.687769289977812,-1.5311020698136875,180.6037951564813,29.678429335769277,-1.5375116276736018,29.696455686902187,-1.5249114443815266
Amajyaruguru,Musanze,Gacaca,Kabirizi,Mata,29.67958937655802,-1.5040729712030119,170.60172434335368,29.67277977511107,-1.511819282476856,29.68792030846487,-1.4951056635423312
Amajyaruguru,Musanze,Gacaca,Kabirizi,Mukungwa,29.677216929735714,-1.5324753440899497,121.95199981397397,29.669357985354797,-1.537908475065748,29.68508026033343,-1.52578405523785
Amajyaruguru,Musanze,Gacaca,Kabirizi,Rungu,29.688582603053156,-1.5189110235935412,141.10761767488495,29.681843491892,-1.5256298004117628,29.69456550717246,-1.5115830129825132
Amajyaruguru,Musanze,Gacaca,Karwasa,Burengo,29.69550858753652,-1.5058491144212818,92.85610026968195,29.687952733634628,-1.511410638678051,29.701424336326685,-1.5009725525593904
Amajyaruguru,Musanze,Gacaca,Karwasa,Kabukende,29.69246924858301,-1.4883514383419882,144.9409180981466,29.68519662061616,-1.4965446420852986,29.698731163842545,-1.4791620192060593
